,Date,Receipt ID,Item,Department,Category,Fineline,Brand,Quantity,Total Sales,Price per Quantity,Customer Account,Gender,Age,Day
405,2008-07-27,298-01241,CADBURY DREAM 80GM,CONFECTIONERY,CHOCOLATE,BARS,CADBURY,2.0,290.0,175,CD-359519,Male,29 -39,Sunday
406,2008-07-27,298-01241,FARMTES LOCAL SUGAR 2KG,SUGAR,WHITE SUGAR,WHITE SUGAR-1,FARMTES,2.0,396.0,198,CD-359519,Male,29 -39,Sunday
407,2008-07-27,298-01318,KINGS M.P.S MWEA SUPER 5KG,RICE,PISHORI RICE,PISHORI RICE-1,KINGS,1.0,730.0,730,CD-063469,Male,29 -39,Sunday
408,2008-07-25,298-00941,RHINO NDOGO MATCH BOX - 10 S,HOUSEHOLD ESSENTIALS,GAS + HEATING ACCESSORIES,FIRE LIGHTERS AND MATCHES,RHINO,1.0,32.0,32,CD-784691,Female,40 -50,Friday
409,2008-07-25,298-00948,KERICHO GOLD LEMON & LIME 20'S TB,HOT BEVERAGE,TEA,TEA INFUSIONS,KERICHO,1.0,225.0,225,CD-599332,Male,40 -50,Friday
410,2008-07-27,298-01156,BELLA WHITE T/PAPER 4 PACK,PAPER + PLASTICS,TISSUE PAPERS,BLENDED,BELLA,1.0,69.0,69,CD-201447,Female,18 -28,Sunday
411,2008-07-27,298-01210,HANNAN WHITE T/PAPER 8PACK,PAPER + PLASTICS,TISSUE PAPERS,VIRGIN,HANNAN,1.0,300.0,300,CD-168328,Male,51 -61,Sunday
412,2008-07-21,298-00104,ORAL-MAX COMFORT T/BRUSH MED,PERSONAL CARE,ORAL CARE,TOOTH BRUSHES,ORAL-MAX,3.0,150.0,50,CD-343213,Female,29 -39,Monday
413,2008-07-26,298-01072,ZESTA STRAWBERRY JAM 1KG,BREAKFAST,SPREADS,JAMS/MARMALADES,ZESTA,1.0,379.0,379,CD-242954,Male,29 -39,Saturday
414,2008-07-25,298-00941,KINGS FACE MASK 50'S,BEAUTY,FACE CARE,FACE MASK,KINGS,1.0,200.0,200,CD-784691,Female,40 -50,Friday
415,2008-07-21,298-00105,MENENGAI CREAM B/SOAP 800G,LAUNDRY,LAUNDRY BARS,LONG BARS,MENENGAI,1.0,121.0,121,CD-431135,Male,73 -83,Monday
416,2008-07-27,298-01232,MENENGAI CREAM B/SOAP 1KG,LAUNDRY,LAUNDRY BARS,LONG BARS,MENENGAI,2.0,276.0,138,CD-694608,Female,40 -50,Sunday
417,2008-07-26,298-01059,SPAGO STORTELLI 500GM,PASTA + NOODLES,PASTA,SHORT PASTA,SPAGO,1.0,134.0,134,CD-989663,Female,29 -39,Saturday
418,2008-07-25,298-00983,SUNLIGHT YELLOW B/SOAP 700G,LAUNDRY,LAUNDRY BARS,LONG BARS,SUNLIGHT,1.0,134.0,134,CD-252130,Male,18 -28,Friday
419,2008-07-25,298-00921,COLGATE BUBBLE FRUIT 2-5Y 50ML,PERSONAL CARE,ORAL CARE,TOOTH PASTE,COLGATE,1.0,175.0,175,CD-233613,Male,29 -39,Friday
420,2008-07-27,298-01165,TEEPEE PLASTC EX BOOK COVER A4,STATIONERY,SCHOOL STATIONERY,"GRAPH,EXERCISE + COUNTER BOOKS",TEEPEE,2.0,260.0,130,CD-026449,Female,18 -28,Sunday
421,2008-07-27,298-01269,SUPERFINE 504 BALL PEN BLACK,STATIONERY,SCHOOL STATIONERY,PENS + INKS,SUPERFINE,2.0,20.0,10,CD-207673,Female,40 -50,Sunday
422,2008-07-26,298-01019,PASCHA FINO 500ML,DAIRY,LONGLIFE MILK,PLAIN,PASCHA,5.0,195.0,39,CD-701847,Female,29 -39,Saturday
423,2008-07-27,298-01155,EXE SELF RAISING 1KG,FLOUR,WHEAT FLOUR,SELF RAISING WHEAT FLOUR,EXE,1.0,73.0,73,CD-135475,Female,18 -28,Sunday
424,2008-07-27,298-01352,KOTEX ULTRATHIN SUPER DUO 16'S,PERSONAL CARE,SANITARY,SANITARY TOWELS,KOTEX,2.0,290.0,145,CD-822794,Male,29 -39,Sunday
425,2008-07-26,298-01015,GEISHA SHEA BUTTER V/P 3*200G,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,GEISHA,2.0,378.0,189,CD-822352,Female,40 -50,Saturday
426,2008-07-25,298-00977,JOY SUPER BITE (MANDAZI) 200GM,CONFECTIONARY,MANDAZI,MANDAZI BITES,JOY,1.0,38.0,38,CD-788122,Female,18 -28,Friday
427,2008-07-27,298-01333,BLUE BAND MEDIUM FAT 1KG,BREAKFAST,SPREADS,MARGARINE,BLUE,1.0,380.0,380,CD-449227,Female,18 -28,Sunday
428,2008-07-21,298-00093,KENSALT 500G,FOOD ADDITIVES,SEASONINGS,SALT,KENSALT,1.0,15.0,15,CD-456972,Male,18 -28,Monday
429,2008-07-27,298-01270,BLUE BAND MEDIUM FAT 1KG,BREAKFAST,SPREADS,MARGARINE,BLUE,1.0,380.0,380,CD-284726,Female,62 -72,Sunday
430,2008-07-21,298-00112,BROOKSIDE UHT MILK 250ML,DAIRY,LONGLIFE MILK,PLAIN,BROOKSIDE,4.0,140.0,35,CD-452634,Female,40 -50,Monday
431,2008-07-27,298-01308,TES NON WOOVEN PLAIN BEIGE B1,WRAPPING MATERIAL,NON WOVEN BAGS,NON WOVEN BAGS -1,TES,1.0,40.0,40,CD-611584,Male,29 -39,Sunday
432,2008-07-27,298-01292,ARIEL TOUCH OF DOWNY 500G,LAUNDRY,DETERGENTS,HANDWASH DETERGENTS,ARIEL,1.0,99.0,99,CD-33322,Male,29 -39,Sunday
433,2008-07-21,298-00081,TS SCONES 400G,TES BAKERY,TES SCONES,TES BREAD SCONES,TS,1.0,55.0,55,CD-436862,Male,29 -39,Monday
434,2008-07-25,298-00942,FANTA BLACKCURRANT 1.25LTR PET,COLD BEVERAGE,SODA,REGULAR,FANTA,1.0,120.0,120,CD-034763,Female,29 -39,Friday
435,2008-07-27,298-01357,TEEPEE HOCKEY TOILET BRUSH B15,HOMECARE ACCESSORIES,CLEANING,CLEANING AIDS,TEEPEE,1.0,105.0,105,CD-814593,Male,18 -28,Sunday
436,2008-07-25,298-00919,PAMPERS MIDI PANTS H/C 4*31,BABY PRODUCTS,BABY HYGIENE,BABY PANTS,PAMPERS,1.0,749.0,749,CD-382878,Female,18 -28,Friday
437,2008-07-27,298-01316,LOVIN IT A/FRESHNER LAVENDER 300ML,AIRCARE + HOME FRAGRANCE,AEROSOLS,SPRAYS,LOVIN,1.0,190.0,190,CD-401204,Female,18 -28,Sunday
438,2008-07-27,298-01290,KARTASI EX. BK RULED IRISH 48P,STATIONERY,SCHOOL STATIONERY,"GRAPH,EXERCISE + COUNTER BOOKS",KARTASI,2.0,38.0,19,CD-145536,Female,40 -50,Sunday
439,2008-07-25,298-00946,TENA TISSUE 10PK UN/WRAPPED,PAPER + PLASTICS,TISSUE PAPERS,VIRGIN,TENA,1.0,299.0,299,CD-431131,Male,40 -50,Friday
440,2008-07-27,298-01318,FRESH FRI COOKING OIL 3LTR,FATS & OILS,VEGETABLE OIL,VEGETABLE OIL-1,FRESH,1.0,599.0,599,CD-063469,Male,29 -39,Sunday
441,2008-07-25,298-00946,TS WHOLEMEAL BREAD 600G,TES BAKERY,TES BREAD,TES BREAD ROLLS,TS,1.0,65.0,65,CD-431131,Male,40 -50,Friday
442,2008-07-25,298-00975,FINI PICK N MIX P/KG,CONFECTIONERY,CHEWY AND HARD,FRUITY,FINI,0.05,95.0,1900,CD-096492,Female,18 -28,Friday
443,2008-07-27,298-01270,ZENTA CREAM BAR SOAP 800G,LAUNDRY,LAUNDRY BARS,LONG BARS,ZENTA,1.0,90.0,105,CD-284726,Female,62 -72,Sunday
444,2008-07-25,298-00948,ALWAYS S/MAXI THICK 16*8 NIGHT,PERSONAL CARE,SANITARY,SANITARY TOWELS,ALWAYS,2.0,180.0,90,CD-599332,Male,40 -50,Friday
445,2008-07-25,298-00948,IMP.LEATHER I/COOL 175G*3 B2G1,PERSONAL CARE,PERSONAL WASH,FAMILY SOAPS,IMP.LEATHER,2.0,600.0,300,CD-599332,Male,40 -50,Friday
446,2008-07-27,298-01356,HAIER M/WAVE 20L-HP70J20AL-V2,HOME APPLIANCES,MICROWAVE,DIGITAL MICROWAVE,HAIER,1.0,9795.0,9795,CD-254997,Male,51 -61,Sunday
447,2008-07-25,298-00919,DELAMERE VANILLA F/YGHT 250ML C,DAIRY,YOGHURT,PREMIUM,DELAMERE,1.0,67.0,67,CD-382878,Female,18 -28,Friday
448,2008-07-27,298-01274,KIWI BLACK POLISH 100ML,HOUSEHOLD ESSENTIALS,SHOE CARE,SHOE POLISH,KIWI,1.0,169.0,169,CD-948378,Female,40 -50,Sunday
